"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/31/2023","7/31/2023","7/31/2023","SPY","Cash Div: R/D 2023-06-20 P/D 2023-07-31 - 0.012425 shares at 1.638367","CDIV","","","$0.02"
"7/31/2023","7/31/2023","7/31/2023","","Interest Payment","INT","","","$8.67"
"7/31/2023","7/31/2023","8/2/2023","NIO","NIO
CUSIP: 62914V106","Buy","400","$15.37","($6,148.00)"
"7/31/2023","7/31/2023","8/1/2023","SOFI","SOFI 8/4/2023 Call $12.00","STO","2","$0.26","$51.98"
"7/31/2023","7/31/2023","8/1/2023","SOFI","SOFI 8/4/2023 Call $12.00","STO","1","$0.22","$21.98"
"7/31/2023","7/31/2023","8/1/2023","SOFI","SOFI 8/4/2023 Call $12.00","STO","1","$0.22","$21.98"
"7/31/2023","7/31/2023","8/1/2023","SOFI","SOFI 12/15/2023 Call $9.00","STC","10","$2.60","$2,599.95"
"7/28/2023","7/28/2023","7/31/2023","SOFI","Option Expiration for SOFI 7/28/2023 Call $10.00","OEXP","4","",""
"7/28/2023","7/28/2023","7/31/2023","NIO","NIO 7/28/2023 Call $11.50","OASGN","4","",""
"7/28/2023","7/28/2023","8/1/2023","NIO","NIO
CUSIP: 62914V106
4 NIO Options Assigned","Sell","400","$11.50","$4,599.90"
"7/28/2023","7/28/2023","7/31/2023","SOFI","SOFI 12/15/2023 Call $9.00","BTO","10","$2.01","($2,010.00)"
"7/27/2023","7/27/2023","7/28/2023","SOFI","SOFI 1/19/2024 Call $9.00","STC","10","$2.17","$2,169.96"
"7/26/2023","7/26/2023","7/27/2023","SOFI","SOFI 1/19/2024 Call $9.00","BTO","1","$1.94","($194.00)"
"7/26/2023","7/26/2023","7/27/2023","SOFI","SOFI 1/19/2024 Call $9.00","BTO","9","$1.94","($1,746.00)"
"7/26/2023","7/26/2023","7/27/2023","SNAP","SNAP 7/28/2023 Call $14.00","BTC","15","$0.01","($15.00)"
"7/26/2023","7/26/2023","7/27/2023","SNAP","SNAP 7/28/2023 Put $11.00","BTC","15","$0.94","($1,410.00)"
"7/26/2023","7/26/2023","7/27/2023","SNAP","SNAP 8/4/2023 Put $11.00","STC","15","$0.99","$1,484.94"
"7/26/2023","7/26/2023","7/27/2023","SNAP","SNAP 8/4/2023 Call $14.00","STC","15","$0.01","$14.95"
"7/25/2023","7/25/2023","7/26/2023","SNAP","SNAP 7/28/2023 Call $14.00","STO","15","$0.89","$1,334.94"
"7/25/2023","7/25/2023","7/26/2023","SNAP","SNAP 7/28/2023 Put $11.00","STO","15","$0.65","$974.95"
"7/25/2023","7/25/2023","7/26/2023","SNAP","SNAP 8/4/2023 Put $11.00","BTO","15","$0.73","($1,095.00)"
"7/25/2023","7/25/2023","7/26/2023","SNAP","SNAP 8/4/2023 Call $14.00","BTO","15","$1.00","($1,500.00)"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $11.50","STO","1","$0.41","$40.98"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","BTC","1","$0.26","($26.00)"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $11.50","STO","1","$0.41","$40.98"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $11.50","STO","1","$0.41","$40.98"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $11.50","STO","1","$0.41","$40.98"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","BTC","1","$0.26","($26.00)"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","BTC","1","$0.26","($26.00)"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","BTC","1","$0.26","($26.00)"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","STO","3","$0.29","$86.98"
"7/24/2023","7/24/2023","7/25/2023","NIO","NIO 7/28/2023 Call $12.00","STO","1","$0.29","$28.98"
"7/24/2023","7/24/2023","7/26/2023","NIO","NIO
CUSIP: 62914V106","Buy","400","$11.57","($4,627.04)"
"7/21/2023","7/21/2023","7/24/2023","COIN","COIN 7/21/2023 Put $102.00","BTC","1","$3.13","($313.00)"
"7/21/2023","7/21/2023","7/24/2023","NIO","NIO 7/21/2023 Put $10.50","BTC","1","$0.13","($13.00)"
"7/20/2023","7/20/2023","7/21/2023","NIO","NIO 7/21/2023 Put $10.50","STO","1","$0.18","$17.98"
"7/20/2023","7/20/2023","7/21/2023","COIN","COIN 7/21/2023 Put $102.00","STO","1","$1.05","$104.98"
"7/20/2023","7/20/2023","7/24/2023","NIO","NIO
CUSIP: 62914V106","Sell","400","$10.28","$4,111.94"
"7/20/2023","7/20/2023","7/21/2023","NIO","NIO 7/21/2023 Call $11.00","BTC","4","$0.07","($28.00)"
"7/19/2023","7/19/2023","7/20/2023","SOFI","SOFI 7/21/2023 Call $9.50","BTC","4","$0.47","($188.00)"
"7/19/2023","7/19/2023","7/20/2023","SOFI","SOFI 7/28/2023 Call $10.00","STO","4","$0.41","$163.98"
"7/19/2023","7/19/2023","7/20/2023","NIO","NIO 7/21/2023 Call $11.00","STO","4","$0.25","$99.98"
"7/19/2023","7/19/2023","7/20/2023","NIO","NIO 7/21/2023 Call $11.00","BTC","4","$0.21","($84.00)"
"7/18/2023","7/18/2023","7/19/2023","NIO","NIO 7/21/2023 Call $11.00","STO","4","$0.23","$91.98"
"7/17/2023","7/17/2023","7/18/2023","SOFI","SOFI 7/21/2023 Call $9.50","STO","3","$0.22","$65.98"
"7/17/2023","7/17/2023","7/18/2023","SOFI","SOFI 7/21/2023 Call $9.50","STO","1","$0.22","$21.98"
"7/14/2023","7/14/2023","7/17/2023","NIO","Option Expiration for NIO 7/14/2023 Call $11.00","OEXP","4","",""
"7/14/2023","7/14/2023","7/17/2023","SOFI","SOFI 7/21/2023 Call $9.50","BTC","1","$0.17","($17.00)"
"7/14/2023","7/14/2023","7/17/2023","SOFI","SOFI 7/21/2023 Call $9.50","BTC","2","$0.16","($32.00)"
"7/14/2023","7/14/2023","7/17/2023","SOFI","SOFI 7/21/2023 Call $9.50","BTC","1","$0.17","($17.00)"
"7/13/2023","7/13/2023","7/14/2023","NIO","NIO 7/14/2023 Call $11.00","STO","4","$0.20","$79.98"
"7/13/2023","7/13/2023","7/14/2023","NIO","NIO 7/14/2023 Call $11.00","BTC","4","$0.34","($136.00)"
"7/12/2023","7/12/2023","7/13/2023","SOFI","SOFI 7/14/2023 Call $9.00","BTC","2","$0.32","($64.00)"
"7/12/2023","7/12/2023","7/13/2023","SOFI","SOFI 7/21/2023 Call $9.50","STO","2","$0.26","$51.98"
"7/12/2023","7/12/2023","7/13/2023","SOFI","SOFI 7/14/2023 Call $9.00","BTC","2","$0.36","($72.00)"
"7/12/2023","7/12/2023","7/13/2023","SOFI","SOFI 7/21/2023 Call $9.50","STO","1","$0.28","$27.98"
"7/12/2023","7/12/2023","7/13/2023","SOFI","SOFI 7/21/2023 Call $9.50","STO","1","$0.28","$27.98"
